,strike_price,CE_OI_@09:41:27,CE_CHOI_@09:41:27,CE_IV_@09:41:27,CE_LTP_@09:41:27,PE_OI_@09:41:27,PE_CHOI_@09:41:27,PE_IV_@09:41:27,PE_LTP_@09:41:27,NIFTY@09:41:27,CE_VOL_@09:41:27,PE_VOL_@09:41:27,CE_LTP_CHG_@09:41:27,PE_LTP_CHG_@09:41:27,CE_OI_@09:45:58,CE_CHOI_@09:45:58,CE_IV_@09:45:58,CE_LTP_@09:45:58,PE_OI_@09:45:58,PE_CHOI_@09:45:58,PE_IV_@09:45:58,PE_LTP_@09:45:58,NIFTY@09:45:58,CE_VOL_@09:45:58,PE_VOL_@09:45:58,CE_LTP_CHG_@09:45:58,PE_LTP_CHG_@09:45:58,CE_OI_@09:51:58,CE_CHOI_@09:51:58,CE_IV_@09:51:58,CE_LTP_@09:51:58,PE_OI_@09:51:58,PE_CHOI_@09:51:58,PE_IV_@09:51:58,PE_LTP_@09:51:58,NIFTY@09:51:58,CE_VOL_@09:51:58,PE_VOL_@09:51:58,CE_LTP_CHG_@09:51:58,PE_LTP_CHG_@09:51:58,CE_OI_@09:55:58,CE_CHOI_@09:55:58,CE_IV_@09:55:58,CE_LTP_@09:55:58,PE_OI_@09:55:58,PE_CHOI_@09:55:58,PE_IV_@09:55:58,PE_LTP_@09:55:58,NIFTY@09:55:58,CE_VOL_@09:55:58,PE_VOL_@09:55:58,CE_LTP_CHG_@09:55:58,PE_LTP_CHG_@09:55:58,CE_OI_@10:01:28,CE_CHOI_@10:01:28,CE_IV_@10:01:28,CE_LTP_@10:01:28,PE_OI_@10:01:28,PE_CHOI_@10:01:28,PE_IV_@10:01:28,PE_LTP_@10:01:28,NIFTY@10:01:28,CE_VOL_@10:01:28,PE_VOL_@10:01:28,CE_LTP_CHG_@10:01:28,PE_LTP_CHG_@10:01:28,CE_OI_@10:06:28,CE_CHOI_@10:06:28,CE_IV_@10:06:28,CE_LTP_@10:06:28,PE_OI_@10:06:28,PE_CHOI_@10:06:28,PE_IV_@10:06:28,PE_LTP_@10:06:28,NIFTY@10:06:28,CE_VOL_@10:06:28,PE_VOL_@10:06:28,CE_LTP_CHG_@10:06:28,PE_LTP_CHG_@10:06:28,CE_OI_@10:11:28,CE_CHOI_@10:11:28,CE_IV_@10:11:28,CE_LTP_@10:11:28,PE_OI_@10:11:28,PE_CHOI_@10:11:28,PE_IV_@10:11:28,PE_LTP_@10:11:28,NIFTY@10:11:28,CE_VOL_@10:11:28,PE_VOL_@10:11:28,CE_LTP_CHG_@10:11:28,PE_LTP_CHG_@10:11:28,CE_OI_@10:16:28,CE_CHOI_@10:16:28,CE_IV_@10:16:28,CE_LTP_@10:16:28,PE_OI_@10:16:28,PE_CHOI_@10:16:28,PE_IV_@10:16:28,PE_LTP_@10:16:28,NIFTY@10:16:28,CE_VOL_@10:16:28,PE_VOL_@10:16:28,CE_LTP_CHG_@10:16:28,PE_LTP_CHG_@10:16:28,CE_OI_@10:21:28,CE_CHOI_@10:21:28,CE_IV_@10:21:28,CE_LTP_@10:21:28,PE_OI_@10:21:28,PE_CHOI_@10:21:28,PE_IV_@10:21:28,PE_LTP_@10:21:28,NIFTY@10:21:28,CE_VOL_@10:21:28,PE_VOL_@10:21:28,CE_LTP_CHG_@10:21:28,PE_LTP_CHG_@10:21:28,CE_OI_@10:24:58,CE_CHOI_@10:24:58,CE_IV_@10:24:58,CE_LTP_@10:24:58,PE_OI_@10:24:58,PE_CHOI_@10:24:58,PE_IV_@10:24:58,PE_LTP_@10:24:58,NIFTY@10:24:58,CE_VOL_@10:24:58,PE_VOL_@10:24:58,CE_LTP_CHG_@10:24:58,PE_LTP_CHG_@10:24:58,CE_OI_@10:30:59,CE_CHOI_@10:30:59,CE_IV_@10:30:59,CE_LTP_@10:30:59,PE_OI_@10:30:59,PE_CHOI_@10:30:59,PE_IV_@10:30:59,PE_LTP_@10:30:59,NIFTY@10:30:59,CE_VOL_@10:30:59,PE_VOL_@10:30:59,CE_LTP_CHG_@10:30:59,PE_LTP_CHG_@10:30:59,CE_OI_@10:36:29,CE_CHOI_@10:36:29,CE_IV_@10:36:29,CE_LTP_@10:36:29,PE_OI_@10:36:29,PE_CHOI_@10:36:29,PE_IV_@10:36:29,PE_LTP_@10:36:29,NIFTY@10:36:29,CE_VOL_@10:36:29,PE_VOL_@10:36:29,CE_LTP_CHG_@10:36:29,PE_LTP_CHG_@10:36:29,CE_OI_@10:41:29,CE_CHOI_@10:41:29,CE_IV_@10:41:29,CE_LTP_@10:41:29,PE_OI_@10:41:29,PE_CHOI_@10:41:29,PE_IV_@10:41:29,PE_LTP_@10:41:29,NIFTY@10:41:29,CE_VOL_@10:41:29,PE_VOL_@10:41:29,CE_LTP_CHG_@10:41:29,PE_LTP_CHG_@10:41:29,CE_OI_@10:46:59,CE_CHOI_@10:46:59,CE_IV_@10:46:59,CE_LTP_@10:46:59,PE_OI_@10:46:59,PE_CHOI_@10:46:59,PE_IV_@10:46:59,PE_LTP_@10:46:59,NIFTY@10:46:59,CE_VOL_@10:46:59,PE_VOL_@10:46:59,CE_LTP_CHG_@10:46:59,PE_LTP_CHG_@10:46:59,CE_OI_@10:50:59,CE_CHOI_@10:50:59,CE_IV_@10:50:59,CE_LTP_@10:50:59,PE_OI_@10:50:59,PE_CHOI_@10:50:59,PE_IV_@10:50:59,PE_LTP_@10:50:59,NIFTY@10:50:59,CE_VOL_@10:50:59,PE_VOL_@10:50:59,CE_LTP_CHG_@10:50:59,PE_LTP_CHG_@10:50:59,CE_OI_@10:55:59,CE_CHOI_@10:55:59,CE_IV_@10:55:59,CE_LTP_@10:55:59,PE_OI_@10:55:59,PE_CHOI_@10:55:59,PE_IV_@10:55:59,PE_LTP_@10:55:59,NIFTY@10:55:59,CE_VOL_@10:55:59,PE_VOL_@10:55:59,CE_LTP_CHG_@10:55:59,PE_LTP_CHG_@10:55:59,CE_OI_@11:02:29,CE_CHOI_@11:02:29,CE_IV_@11:02:29,CE_LTP_@11:02:29,PE_OI_@11:02:29,PE_CHOI_@11:02:29,PE_IV_@11:02:29,PE_LTP_@11:02:29,NIFTY@11:02:29,CE_VOL_@11:02:29,PE_VOL_@11:02:29,CE_LTP_CHG_@11:02:29,PE_LTP_CHG_@11:02:29,CE_OI_@11:06:29,CE_CHOI_@11:06:29,CE_IV_@11:06:29,CE_LTP_@11:06:29,PE_OI_@11:06:29,PE_CHOI_@11:06:29,PE_IV_@11:06:29,PE_LTP_@11:06:29,NIFTY@11:06:29,CE_VOL_@11:06:29,PE_VOL_@11:06:29,CE_LTP_CHG_@11:06:29,PE_LTP_CHG_@11:06:29,CE_OI_@11:11:59,CE_CHOI_@11:11:59,CE_IV_@11:11:59,CE_LTP_@11:11:59,PE_OI_@11:11:59,PE_CHOI_@11:11:59,PE_IV_@11:11:59,PE_LTP_@11:11:59,NIFTY@11:11:59,CE_VOL_@11:11:59,PE_VOL_@11:11:59,CE_LTP_CHG_@11:11:59,PE_LTP_CHG_@11:11:59,CE_OI_@11:15:30,CE_CHOI_@11:15:30,CE_IV_@11:15:30,CE_LTP_@11:15:30,PE_OI_@11:15:30,PE_CHOI_@11:15:30,PE_IV_@11:15:30,PE_LTP_@11:15:30,NIFTY@11:15:30,CE_VOL_@11:15:30,PE_VOL_@11:15:30,CE_LTP_CHG_@11:15:30,PE_LTP_CHG_@11:15:30,CE_OI_@11:20:30,CE_CHOI_@11:20:30,CE_IV_@11:20:30,CE_LTP_@11:20:30,PE_OI_@11:20:30,PE_CHOI_@11:20:30,PE_IV_@11:20:30,PE_LTP_@11:20:30,NIFTY@11:20:30,CE_VOL_@11:20:30,PE_VOL_@11:20:30,CE_LTP_CHG_@11:20:30,PE_LTP_CHG_@11:20:30,CE_OI_@11:26:30,CE_CHOI_@11:26:30,CE_IV_@11:26:30,CE_LTP_@11:26:30,PE_OI_@11:26:30,PE_CHOI_@11:26:30,PE_IV_@11:26:30,PE_LTP_@11:26:30,NIFTY@11:26:30,CE_VOL_@11:26:30,PE_VOL_@11:26:30,CE_LTP_CHG_@11:26:30,PE_LTP_CHG_@11:26:30,CE_OI_@11:30:30,CE_CHOI_@11:30:30,CE_IV_@11:30:30,CE_LTP_@11:30:30,PE_OI_@11:30:30,PE_CHOI_@11:30:30,PE_IV_@11:30:30,PE_LTP_@11:30:30,NIFTY@11:30:30,CE_VOL_@11:30:30,PE_VOL_@11:30:30,CE_LTP_CHG_@11:30:30,PE_LTP_CHG_@11:30:30,CE_OI_@11:37:00,CE_CHOI_@11:37:00,CE_IV_@11:37:00,CE_LTP_@11:37:00,PE_OI_@11:37:00,PE_CHOI_@11:37:00,PE_IV_@11:37:00,PE_LTP_@11:37:00,NIFTY@11:37:00,CE_VOL_@11:37:00,PE_VOL_@11:37:00,CE_LTP_CHG_@11:37:00,PE_LTP_CHG_@11:37:00,CE_OI_@11:41:00,CE_CHOI_@11:41:00,CE_IV_@11:41:00,CE_LTP_@11:41:00,PE_OI_@11:41:00,PE_CHOI_@11:41:00,PE_IV_@11:41:00,PE_LTP_@11:41:00,NIFTY@11:41:00,CE_VOL_@11:41:00,PE_VOL_@11:41:00,CE_LTP_CHG_@11:41:00,PE_LTP_CHG_@11:41:00,CE_OI_@11:45:30,CE_CHOI_@11:45:30,CE_IV_@11:45:30,CE_LTP_@11:45:30,PE_OI_@11:45:30,PE_CHOI_@11:45:30,PE_IV_@11:45:30,PE_LTP_@11:45:30,NIFTY@11:45:30,CE_VOL_@11:45:30,PE_VOL_@11:45:30,CE_LTP_CHG_@11:45:30,PE_LTP_CHG_@11:45:30,CE_OI_@11:52:00,CE_CHOI_@11:52:00,CE_IV_@11:52:00,CE_LTP_@11:52:00,PE_OI_@11:52:00,PE_CHOI_@11:52:00,PE_IV_@11:52:00,PE_LTP_@11:52:00,NIFTY@11:52:00,CE_VOL_@11:52:00,PE_VOL_@11:52:00,CE_LTP_CHG_@11:52:00,PE_LTP_CHG_@11:52:00,CE_OI_@11:56:00,CE_CHOI_@11:56:00,CE_IV_@11:56:00,CE_LTP_@11:56:00,PE_OI_@11:56:00,PE_CHOI_@11:56:00,PE_IV_@11:56:00,PE_LTP_@11:56:00,NIFTY@11:56:00,CE_VOL_@11:56:00,PE_VOL_@11:56:00,CE_LTP_CHG_@11:56:00,PE_LTP_CHG_@11:56:00
11000,11000,,,,,53925.0,18150.0,68.2,0.8,14021.4,,593.0,,0.1,,,,,56250.0,20475.0,67.95,0.85,14031.85,,608.0,,0.15,,,,,57375.0,21600.0,68.01,0.8,14027.9,,646.0,,0.1,,,,,57375.0,21600.0,67.91,0.8,14024.6,,646.0,,0.1,,,,,56550.0,20775.0,68.04,0.8,14027.65,,662.0,,0.1,,,,,56550.0,20775.0,68.04,0.8,14020.1,,662.0,,0.1,,,,,56550.0,20775.0,67.86,0.8,14024.3,,662.0,,0.1,,,,,57750.0,21975.0,67.86,0.75,14026.15,,663.0,,0.05,,,,,57825.0,22050.0,67.9,0.8,14023.3,,674.0,,0.1,,,,,57675.0,21900.0,67.9,0.8,14026.65,,687.0,,0.1,,,,,59100.0,23325.0,68.12,0.85,14033.5,,744.0,,0.15,,,,,59100.0,23325.0,68.12,0.8,14028.75,,751.0,,0.1,,,,,59100.0,23325.0,67.94,0.8,14025.2,,751.0,,0.1,,,,,60825.0,25050.0,67.94,0.75,14033.75,,813.0,,0.05,,,,,60825.0,25050.0,67.67,0.75,14029.35,,813.0,,0.05,,,,,62325.0,26550.0,67.67,0.8,14032.5,,834.0,,0.1,,,,,62325.0,26550.0,68.06,0.8,14028.95,,834.0,,0.1,,,,,62100.0,26325.0,68.06,0.75,14030.05,,850.0,,0.05,,,,,62100.0,26325.0,67.53,0.75,14025.05,,850.0,,0.05,,,,,62100.0,26325.0,67.53,0.75,14028.6,,901.0,,0.05,,,,,65175.0,29400.0,67.66,0.75,14033.55,,901.0,,0.05,,,,,65175.0,29400.0,67.66,0.75,14030.55,,901.0,,0.05,,,,,65175.0,29400.0,67.6,0.75,14030.3,,901.0,,0.05,,,,,65175.0,29400.0,67.6,0.75,14033.2,,901.0,,0.05,,,,,65175.0,29400.0,67.54,0.75,14025.7,,901.0,,0.05,,,,,65175.0,29400.0,67.54,0.75,14020.25,,1062.0,,0.05,,,,,66525.0,30750.0,67.04,0.7,14017.5,,1317.0,,,,,,,66525.0,30750.0,67.04,0.7,14013.65,,1446.0,,
11050,11050,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11100,11100,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11150,11150,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11200,11200,,,,,600.0,525.0,65.53,1.15,14021.4,,10.0,,-4.85,,,,,675.0,600.0,65.68,1.1,14031.85,,25.0,,-4.9,,,,,1800.0,1725.0,64.49,0.95,14027.9,,31.0,,-5.05,,,,,1800.0,1725.0,64.39,0.95,14024.6,,31.0,,-5.05,,,,,1800.0,1725.0,64.52,0.95,14027.65,,31.0,,-5.05,,,,,1800.0,1725.0,64.52,0.95,14020.1,,31.0,,-5.05,,,,,1800.0,1725.0,64.33,0.95,14024.3,,31.0,,-5.05,,,,,1800.0,1725.0,64.33,0.95,14026.15,,31.0,,-5.05,,,,,1800.0,1725.0,64.38,0.9,14023.3,,34.0,,-5.1,,,,,1800.0,1725.0,64.38,0.9,14026.65,,34.0,,-5.1,,,,,2325.0,2250.0,64.26,1.2,14033.5,,71.0,,-4.8,,,,,2325.0,2250.0,64.26,1.2,14028.75,,71.0,,-4.8,,,,,4500.0,4425.0,64.75,1.0,14025.2,,72.0,,-5.0,,,,,4500.0,4425.0,64.75,1.2,14033.75,,102.0,,-4.8,,,,,4500.0,4425.0,66.11,1.2,14029.35,,102.0,,-4.8,,,,,4500.0,4425.0,66.11,1.2,14032.5,,102.0,,-4.8,,,,,4500.0,4425.0,66.08,1.2,14028.95,,102.0,,-4.8,,,,,6750.0,6675.0,66.08,0.95,14030.05,,103.0,,-5.05,,,,,6750.0,6675.0,64.43,0.95,14025.05,,103.0,,-5.05,,,,,6750.0,6675.0,64.43,0.95,14028.6,,103.0,,-5.05,,,,,6825.0,6750.0,64.22,0.9,14033.55,,126.0,,-5.1,,,,,6825.0,6750.0,64.22,0.9,14030.55,,126.0,,-5.1,,,,,6825.0,6750.0,64.16,0.9,14030.3,,127.0,,-5.1,,,,,6825.0,6750.0,64.16,0.9,14033.2,,127.0,,-5.1,,,,,6825.0,6750.0,64.09,0.9,14025.7,,127.0,,-5.1,,,,,6825.0,6750.0,64.09,0.9,14020.25,,127.0,,-5.1,,,,,6825.0,6750.0,64.03,0.9,14017.5,,127.0,,-5.1,,,,,6825.0,6750.0,64.03,0.9,14013.65,,127.0,,-5.1
11250,11250,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11300,11300,,,,,,,,,14021.4,,,,,,,,,,,,1.0,14031.85,,15.0,,-255.25,,,,,,,62.51,1.0,14027.9,,15.0,,-255.25,,,,,,,62.4,1.0,14024.6,,15.0,,-255.25,,,,,,,62.54,1.0,14027.65,,15.0,,-255.25,,,,,,,62.54,1.0,14020.1,,15.0,,-255.25,,,,,,,62.35,1.0,14024.3,,15.0,,-255.25,,,,,,,62.35,1.0,14026.15,,15.0,,-255.25,,,,,,,62.39,1.0,14023.3,,15.0,,-255.25,,,,,,,62.39,1.0,14026.65,,15.0,,-255.25,,,,,1125.0,1125.0,62.62,1.0,14033.5,,34.0,,-255.25,,,,,1125.0,1125.0,62.62,1.0,14028.75,,34.0,,-255.25,,,,,1125.0,1125.0,62.43,1.0,14025.2,,34.0,,-255.25,,,,,2550.0,2550.0,62.43,1.0,14033.75,,64.0,,-255.25,,,,,2550.0,2550.0,62.58,1.0,14029.35,,64.0,,-255.25,,,,,2550.0,2550.0,62.58,1.0,14032.5,,64.0,,-255.25,,,,,2550.0,2550.0,62.56,1.0,14028.95,,64.0,,-255.25,,,,,2550.0,2550.0,62.56,1.0,14030.05,,64.0,,-255.25,,,,,2550.0,2550.0,62.44,1.0,14025.05,,64.0,,-255.25,,,,,5550.0,5550.0,62.44,0.9,14028.6,,156.0,,-255.35,,,,,34950.0,34950.0,61.57,0.85,14033.55,,727.0,,-255.4,,,,,16125.0,16125.0,61.57,0.9,14030.55,,1015.0,,-255.35,,,,,4800.0,4800.0,61.51,0.85,14030.3,,1046.0,,-255.4,,,,,4800.0,4800.0,61.51,0.85,14033.2,,1526.0,,-255.4,,,,,4800.0,4800.0,61.44,0.85,14025.7,,1533.0,,-255.4,,,,,8175.0,8175.0,61.44,0.8,14020.25,,2023.0,,-255.45,,,,,8175.0,8175.0,61.02,0.8,14017.5,,2023.0,,-255.45,,,,,8175.0,8175.0,61.02,0.8,14013.65,,2023.0,,-255.45
11350,11350,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
11400,11400,,,,,225.0,225.0,56.12,0.5,14021.4,,8.0,,-286.55,,,,,300.0,300.0,56.26,1.0,14031.85,,23.0,,-286.05,,,,,1425.0,1425.0,60.2,1.0,14027.9,,27.0,,-286.05,,,,,1425.0,1425.0,60.1,1.0,14024.6,,27.0,,-286.05,,,,,1725.0,1725.0,60.23,1.0,14027.65,,47.0,,-286.05,,,,,1725.0,1725.0,60.23,1.0,14020.1,,47.0,,-286.05,,,,,1725.0,1725.0,60.04,1.0,14024.3,,47.0,,-286.05,,,,,1725.0,1725.0,60.04,1.0,14026.15,,47.0,,-286.05,,,,,1725.0,1725.0,60.09,1.0,14023.3,,47.0,,-286.05,,,,,1725.0,1725.0,60.09,1.0,14026.65,,47.0,,-286.05,,,,,3225.0,3225.0,60.32,1.45,14033.5,,92.0,,-285.6,,,,,3225.0,3225.0,60.32,1.45,14028.75,,92.0,,-285.6,,,,,6600.0,6600.0,61.0,1.15,14025.2,,96.0,,-285.9,,,,,6600.0,6600.0,61.0,1.4,14033.75,,126.0,,-285.65,,,,,8850.0,8850.0,62.42,1.1,14029.35,,128.0,,-285.95,,,,,8850.0,8850.0,62.42,1.05,14032.5,,147.0,,-286.0,,,,,8850.0,8850.0,60.55,1.05,14028.95,,147.0,,-286.0,,,,,8850.0,8850.0,60.55,1.05,14030.05,,147.0,,-286.0,,,,,8850.0,8850.0,60.44,1.05,14025.05,,147.0,,-286.0,,,,,8850.0,8850.0,60.44,1.05,14028.6,,147.0,,-286.0,,,,,8850.0,8850.0,60.27,1.0,14033.55,,155.0,,-286.05,,,,,8850.0,8850.0,60.27,1.0,14030.55,,155.0,,-286.05,,,,,8850.0,8850.0,60.21,1.0,14030.3,,155.0,,-286.05,,,,,8850.0,8850.0,60.21,1.0,14033.2,,155.0,,-286.05,,,,,8850.0,8850.0,60.14,1.0,14025.7,,155.0,,-286.05,,,,,8850.0,8850.0,60.14,1.0,14020.25,,155.0,,-286.05,,,,,8850.0,8850.0,60.08,0.9,14017.5,,157.0,,-286.15,,,,,8850.0,8850.0,60.08,0.9,14013.65,,157.0,,-286.15
11450,11450,,,,,,,,,14021.4,,,,,,,,,,,,,14031.85,,,,,,,,,,,,,14027.9,,,,,,,,,,,,,14024.6,,,,,,,,,,,,,14027.65,,,,,,,,,,,,,14020.1,,,,,,,,,,,,,14024.3,,,,,,,,,,,,,14026.15,,,,,,,,,,,,,14023.3,,,,,,,,,,,,,14026.65,,,,,,,,,,,,,14033.5,,,,,,,,,,,,,14028.75,,,,,,,,,,,,,14025.2,,,,,,,,,,,,,14033.75,,,,,,,,,,,,,14029.35,,,,,,,,,,,,,14032.5,,,,,,,,,,,,,14028.95,,,,,,,,,,,,,14030.05,,,,,,,,,,,,,14025.05,,,,,,,,,,,,,14028.6,,,,,,,,,,,,,14033.55,,,,,,,,,,,,,14030.55,,,,,,,,,,,,,14030.3,,,,,,,,,,,,,14033.2,,,,,,,,,,,,,14025.7,,,,,,,,,,,,,14020.25,,,,,,,,,,,,,14017.5,,,,,,,,,,,,,14013.65,,,,
